doc1,doc2,Elevation_BLEU,Elevation_Cosine,Footer_BLEU,Footer_Cosine,Foundation_BLEU,Foundation_Cosine,Peak_BLEU,Peak_Cosine,Want to Go Further?_BLEU,Want to Go Further?_Cosine,What This Means For You_BLEU,What This Means For You_Cosine,Your Learning Persona_BLEU,Your Learning Persona_Cosine,Your SAT Practice Snapshot_BLEU,Your SAT Practice Snapshot_Cosine,math strategies_BLEU,math strategies_Cosine,motivational paragraph_BLEU,motivational paragraph_Cosine,reading writing strategies_BLEU,reading writing strategies_Cosine,study_tips_BLEU,study_tips_Cosine,weekly_schedule_BLEU,weekly_schedule_Cosine,FULL_TEXT_BLEU,FULL_TEXT_Cosine,User
Ronit_2.json,Ronit_4.json,0.2372,0.9173,1.0,1.0,0.2179,0.8934,0.0686,0.8289,0.2119,0.9734,0.5472,0.9025,0.5892,0.9761,0.3423,0.9758,0.0408,0.7964,0.2748,0.8858,0.0249,0.7913,0.2365,0.8749,0.9134,0.9942,0.4115,0.9872,Ronit
Ronit_3.json,Ronit_4.json,0.5005,0.9332,1.0,1.0,0.281,0.8701,0.1207,0.8178,0.2753,0.8565,0.3652,0.88,0.2429,0.8995,0.6218,0.9789,0.1717,0.8507,0.035,0.7528,0.1481,0.8289,0.2344,0.8829,0.862,0.9941,0.4155,0.9756,Ronit
Sumedh_1.json,Sumedh_2.json,0.3754,0.9511,1.0,1.0,0.2418,0.9428,0.2298,0.9011,0.2376,0.9278,0.2526,0.8994,0.2499,0.9523,0.3607,0.8035,0.283,0.8599,0.114,0.8795,0.229,0.8063,0.1975,0.8529,0.8316,0.9816,0.3699,0.9846,Sumedh
Sumedh_1.json,Sumedh_3.json,0.2163,0.9312,1.0,1.0,0.2861,0.935,0.1182,0.8339,0.2376,0.9379,0.3389,0.9296,0.3058,0.9485,0.3787,0.7937,0.0919,0.8135,0.1632,0.834,0.3411,0.9024,0.1898,0.8092,0.8995,0.9886,0.3702,0.9791,Sumedh
Sumedh_1.json,Sumedh_4.json,0.2532,0.9334,1.0,1.0,0.4058,0.9433,0.1196,0.8701,0.43,0.931,0.2319,0.9125,0.4469,0.9655,0.4082,0.8133,0.0336,0.8159,0.1962,0.8839,0.2931,0.9187,0.2287,0.8498,0.842,0.9841,0.4184,0.9831,Sumedh
Sumedh_2.json,Sumedh_3.json,0.3629,0.9546,1.0,1.0,0.3037,0.9425,0.1478,0.8167,0.5879,0.9755,0.2929,0.9358,0.3193,0.951,0.6664,0.9678,0.1159,0.8582,0.1186,0.8935,0.2421,0.8329,0.1423,0.8307,0.9227,0.9883,0.4115,0.9896,Sumedh
Sumedh_2.json,Sumedh_4.json,0.3131,0.9291,1.0,1.0,0.2388,0.9273,0.1418,0.8198,0.3682,0.9691,0.1611,0.913,0.5102,0.977,0.6033,0.963,0.1135,0.8564,0.4573,0.9516,0.3788,0.8677,0.1015,0.8077,0.8903,0.9871,0.438,0.9855,Sumedh
Sumedh_3.json,Sumedh_4.json,0.3411,0.9271,1.0,1.0,0.3419,0.9325,0.2077,0.8483,0.3166,0.9666,0.174,0.9118,0.1435,0.9455,0.5715,0.9517,0.147,0.8488,0.1272,0.9002,0.3374,0.9242,0.1598,0.8343,0.9382,0.9962,0.3827,0.9827,Sumedh
Toni_1.json,Toni_2.json,0.3368,0.9135,1.0,1.0,0.3703,0.8878,0.0845,0.8478,0.1479,0.83,0.134,0.8456,0.1115,0.94,0.2205,0.8562,0.3505,0.8919,0.079,0.8427,0.355,0.9216,0.3426,0.906,0.8123,0.9849,0.3571,0.9692,Toni
Toni_1.json,Toni_3.json,0.3083,0.9229,1.0,1.0,0.3675,0.901,0.1621,0.8535,0.2017,0.8302,0.2175,0.8739,0.1244,0.9306,0.2908,0.9205,0.2798,0.8023,0.0145,0.8504,0.435,0.9327,0.4553,0.9153,0.9047,0.9842,0.3948,0.9744,Toni
Toni_1.json,Toni_4.json,0.3488,0.9598,1.0,1.0,0.3906,0.9129,0.1612,0.7642,0.2355,0.827,0.2377,0.8537,0.3961,0.9586,0.0939,0.8573,0.4122,0.814,0.3526,0.9067,0.4171,0.9319,0.3647,0.8473,0.9648,0.9988,0.4342,0.974,Toni
Toni_2.json,Toni_3.json,0.2324,0.9045,1.0,1.0,0.2935,0.8794,0.2148,0.8151,0.3706,0.9814,0.1686,0.8784,0.3042,0.9491,0.2426,0.9037,0.2436,0.8023,0.1264,0.8963,0.6365,0.9768,0.323,0.9035,0.9046,0.9957,0.4108,0.9869,Toni
Toni_2.json,Toni_4.json,0.3671,0.9436,1.0,1.0,0.5077,0.968,0.1668,0.8246,0.3835,0.9793,0.1279,0.7994,0.1203,0.9284,0.2936,0.8755,0.3742,0.815,0.1203,0.8903,0.4931,0.9621,0.293,0.8872,0.8275,0.9873,0.4031,0.987,Toni
Toni_3.json,Toni_4.json,0.2802,0.9215,1.0,1.0,0.3379,0.8972,0.1794,0.7682,0.411,0.9833,0.2009,0.8421,0.1479,0.9199,0.0885,0.8973,0.2243,0.8619,0.0356,0.8728,0.5491,0.9741,0.4516,0.8605,0.9176,0.9868,0.3889,0.9843,Toni
Zoha_1.json,Zoha_2.json,0.1873,0.8944,1.0,1.0,0.3212,0.9405,0.1699,0.9081,0.3287,0.9812,0.3727,0.9624,0.6087,0.9653,0.3058,0.9586,0.1749,0.8455,0.385,0.944,0.6386,0.9573,0.132,0.8609,0.9684,0.9993,0.4697,0.9867,Zoha
Zoha_1.json,Zoha_3.json,0.2845,0.8833,1.0,1.0,0.3652,0.9165,0.3218,0.927,0.2579,0.9181,0.3579,0.9353,0.189,0.9674,0.3473,0.9448,0.2518,0.863,0.3039,0.8848,0.5677,0.9494,0.02,0.7521,1.0,1.0,0.4293,0.974,Zoha
Zoha_1.json,Zoha_4.json,0.4251,0.9419,1.0,1.0,0.3862,0.9459,0.2958,0.8937,0.3258,0.932,0.1926,0.7851,0.2671,0.9333,0.3884,0.9649,0.1656,0.8172,0.1338,0.8665,0.3245,0.9084,0.0605,0.7982,1.0,1.0,0.4087,0.9771,Zoha
Zoha_2.json,Zoha_3.json,0.2141,0.9144,1.0,1.0,0.4949,0.951,0.1458,0.8755,0.1802,0.9117,0.3229,0.946,0.1374,0.9406,0.3505,0.9414,0.1251,0.8275,0.128,0.8682,0.6846,0.9678,0.0251,0.8021,0.9682,0.9993,0.3959,0.9759,Zoha
Zoha_2.json,Zoha_4.json,0.286,0.923,1.0,1.0,0.343,0.9488,0.1771,0.8357,0.2557,0.9342,0.1332,0.7937,0.2464,0.9343,0.3822,0.9566,0.3189,0.9067,0.1246,0.8573,0.4288,0.9326,0.0329,0.7954,0.9682,0.9993,0.3811,0.9801,Zoha
Zoha_3.json,Zoha_4.json,0.3681,0.9167,1.0,1.0,0.4128,0.9248,0.3237,0.871,0.3823,0.9341,0.1164,0.7508,0.2599,0.9391,0.3534,0.9381,0.1232,0.8162,0.1367,0.9014,0.5336,0.9179,0.3767,0.9104,1.0,1.0,0.4348,0.9822,Zoha
